pack_size,total_sales,avg_price,qty,transactions
175,485437.4000000001,3.832752372345233,126467,66390
150,304288.5,3.697445920567573,82174,43131
134,177655.50000000003,3.699837861524978,48019,25102
110,162765.4,3.799915129316121,42835,22387
170,146672.99999999997,3.8465971075414105,38088,19983
330,136794.3,5.7,23999,12540
300,113330.6,3.9247586707108004,28813,15166
165,101360.59999999999,3.4863306530692295,29051,15297
380,75419.6,6.132317643391521,12273,6416
270,55425.399999999994,4.6,12049,6285
210,43048.799999999996,3.599464285714286,11962,6272
250,26096.7,4.3,6069,3169
135,26090.4,4.2,6212,3257
200,16007.5,1.9,8425,4473
190,14412.9,2.5407345575959934,5673,2995
160,10647.6,1.9,5604,2970
90,9676.4,1.7,5692,3008
180,8568.4,3.1,2764,1468
70,6852,2.4,2855,1507
220,6830.999999999999,2.3,2970,1564
125,5733,2.1,2730,1454
